device,device type,rssis,average rssi,connected duration,connected times
C0:00:5B:6E:04:87,I6IA-1159,"[-62, -62, -60, -59, -69, -62, -59, -59, -62, -61, -74, -58, -58, -58, -62, -62, -58, -58, -57, -58]",-60.9,0.3068068027496338,1
C0:00:5B:6E:03:F9,I6IA-1017,"[-53, -56, -55, -57, -54, -60, -56, -56, -56, -59, -55, -53, -56, -56, -55, -53, -53, -59, -55, -54]",-55.55,1.229743242263794,1
C0:00:5B:3F:74:8F,(unknown),"[-52, -52, -68, -52, -56, -55, -53, -52, -56, -54, -53, -52, -56, -56, -56, -56, -52, -52, -56, -56]",-54.75,1.0246810913085938,1
C0:00:5B:3F:74:CC,I6IA-9900,"[-60, -60, -60, -61, -57, -61, -60, -62, -61, -61, -58, -61, -60, -62, -62, -59, -59, -60, -59, -60]",-60.15,0.3761913776397705,1
CE:A4:21:14:23:AD,(unknown),"[-65, -65, -65, -66, -67, -68, -65, -65, -65, -65, -67, -67, -65, -68, -67, -67, -66, -68, -65, -67]",-66.15,1.0189306735992432,1
DB:1D:E1:FB:DD:8F,(unknown),"[-60, -63, -63, -63, -63, -63, -61, -63, -62, -63, -63, -63, -62, -60, -59, -61, -61, -59, -59, -62]",-61.65,0.16573023796081543,1
DB:1D:E1:FB:DD:8F,(unknown),"[-58, -59, -63, -65, -63, -61, -59, -63, -62, -60, -59, -62, -60, -63, -63, -59, -58, -62, -63, -61]",-61.15,1.768064022064209,1
DB:1D:E1:FB:DD:8F,(unknown),"[-62, -65, -60, -60, -63, -62, -63, -63, -61, -64, -64, -63, -59, -59, -59, -59, -63, -62, -59, -61]",-61.55,0.17016172409057617,1
DB:1D:E1:FB:DD:8F,(unknown),"[-59, -60, -59, -59, -62, -62, -61, -61, -59, -62, -60, -59, -62, -63, -63, -61, -59, -63, -64, -60]",-60.9,0.8686761856079102,1
98:7B:F3:5B:41:0B,Sleepace Z     ,"[-59, -58, -57, -59, -60, -58, -66, -66, -66, -57, -58, -65, -66, -58, -58, -58, -58, -65, -65, -58]",-60.75,0.14973664283752441,1
DB:1D:E1:FB:DD:8F,(unknown),"[-56, -56, -57, -58, -67, -58, -67, -57, -55, -67, -67, -67, -67, -67, -67, -68, -67, -69, -67, -67]",-63.55,0.7681365013122559,1
DB:1D:E1:FB:DD:8F,Sleepace Z2,"[-56, -56, -55, -55, -67, -67, -67, -56, -68, -68, -56, -69, -55, -70, -70, -67, -55, -55, -57, -56]",-61.25,0.890448808670044,1
CE:A4:21:14:23:AD,(unknown),"[-65, -67, -63, -66, -65, -66, -65, -65, -67, -67, -65, -66, -65, -65, -67, -67, -65, -65, -65, -66]",-65.6,0.19995856285095215,2
CE:A4:21:14:23:AD,Sleepace Z2,"[-66, -67, -65, -65, -65, -65, -66, -65, -65, -65, -65, -65, -67, -65, -65, -65, -65, -65, -66, -65]",-65.35,0.06589579582214355,1
DB:1D:E1:FB:DD:8F,Sleepace Z2,"[-69, -56, -57, -68, -68, -69, -70, -68, -58, -70, -57, -71, -69, -69, -69, -67, -68, -67, -68, -67]",-66.25,2.5014450550079346,2
CE:A4:21:14:23:AD,(unknown),"[-66, -66, -65, -67, -65, -67, -66, -66, -65, -63, -65, -66, -65, -65, -66, -67, -65, -65, -66, -67]",-65.65,0.034848928451538086,1
CE:A4:21:14:23:AD,Sleepace Z2,"[-67, -66, -67, -65, -65, -66, -65, -65, -66, -65, -65, -66, -65, -65, -65, -66, -67, -66, -65, -65]",-65.6,0.06954622268676758,1
DB:1D:E1:FB:DD:8F,(unknown),"[-68, -69, -55, -55, -56, -56, -57, -56, -55, -56, -68, -69, -56, -55, -69, -68, -68, -68, -58, -57]",-60.95,3.85740327835083,2
CE:A4:21:14:23:AD,(unknown),"[-65, -64, -65, -65, -66, -67, -67, -66, -65, -67, -65, -67, -63, -65, -65, -65, -65, -66, -66, -65]",-65.45,0.8606233596801758,2
DB:1D:E1:FB:DD:8F,(unknown),"[-68, -68, -56, -68, -57, -56, -56, -57, -55, -68, -68, -68, -68, -69, -67, -68, -72, -67, -71, -56]",-64.15,1.149120569229126,2
DB:1D:E1:FB:DD:8F,Sleepace Z2,"[-68, -57, -68, -71, -56, -68, -68, -67, -57, -56, -55, -56, -55, -56, -57, -55, -55, -55, -56, -68]",-60.2,0.22346210479736328,1
DB:1D:E1:FB:DD:8F,(unknown),"[-56, -55, -57, -74, -55, -56, -57, -57, -66, -70, -53, -55, -69, -55, -55, -55, -56, -57, -56, -55]",-58.45,0.1400744915008545,2
CE:A4:21:14:23:AD,(unknown),"[-65, -65, -66, -66, -65, -65, -66, -65, -67, -65, -65, -65, -67, -66, -65, -66, -65, -65, -67, -65]",-65.55,2.3219125270843506,1
CE:A4:21:14:23:AD,Sleepace Z2,"[-65, -66, -65, -65, -65, -66, -65, -65, -65, -67, -65, -65, -65, -67, -66, -65, -65, -65, -63, -65]",-65.25,0.5131940841674805,1
DB:1D:E1:FB:DD:8F,(unknown),"[-57, -58, -55, -57, -69, -70, -68, -71, -55, -55, -69, -70, -55, -57, -58, -56, -55, -69, -69, -70]",-62.15,0.23035740852355957,2
CE:A4:21:14:23:AD,(unknown),"[-65, -65, -65, -65, -66, -65, -65, -65, -65, -65, -65, -65, -65, -65, -65, -66, -65, -65, -66, -65]",-65.15,0.7705185413360596,2
DB:1D:E1:FB:DD:8F,(unknown),"[-68, -71, -69, -69, -58, -57, -57, -56, -56, -55, -71, -69, -70, -55, -55, -56, -56, -57, -69, -55]",-61.45,4.546381235122681,1
DB:1D:E1:FB:DD:8F,Sleepace Z2,"[-69, -68, -55, -69, -69, -56, -55, -56, -56, -55, -70, -68, -57, -58, -58, -56, -55, -69, -70, -69]",-61.9,0.7445075511932373,1
CE:A4:21:14:23:AD,(unknown),"[-65, -65, -65, -65, -65, -65, -65, -65, -64, -67, -65, -65, -64, -65, -66, -67, -65, -66, -64, -65]",-65.15,0.23906946182250977,1
